day,entry_time,exit_time,entry,exit,shares,gross_pnl,cost,net_pnl,reason,generation,hold_seconds,profile
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,751.97,750.26,2.6612752232330363,-4.550780631728589,0.7995694957194729,-5.350350127448062,trailing_stop,0,2640,trend_path|rb=False|bps=2.0|frac=True
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.6541601120883787,0.3450408145714772,0.7984085199577536,-0.45336770538627646,end_of_day,0,10500,trend_path|rb=False|bps=2.0|frac=True
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.6535572054493026,2.6535572054493026,0.7986888761537747,1.854868329295528,target,0,5220,trend_path|rb=False|bps=2.0|frac=True
2026-07-16,2026-07-16T13:35:00+00:00,2026-07-16T14:05:00+00:00,751.97,752.97,2.656023884079162,2.656023884079162,0.7994313168212188,1.8565925672579433,target,0,1800,trend_path|rb=False|bps=2.0|frac=True
2026-07-16,2026-07-16T16:13:00+00:00,2026-07-16T18:40:00+00:00,751.97,750.33,2.658492855670127,-4.359928283298972,0.7987707634146465,-5.158699046713618,trailing_stop,0,8820,trend_path|rb=False|bps=2.0|frac=True
2026-07-13,2026-07-13T13:51:00+00:00,2026-07-13T13:55:00+00:00,751.97,752.97,2.0,2.0,0.6019760000000001,1.398024,target,0,240,trend_path|rb=False|bps=2.0|frac=False
2026-07-13,2026-07-13T14:16:00+00:00,2026-07-13T14:26:00+00:00,751.97,752.97,2.0,2.0,0.6019760000000001,1.398024,target,0,600,trend_path|rb=False|bps=2.0|frac=False
2026-07-13,2026-07-13T14:37:00+00:00,2026-07-13T15:00:00+00:00,751.97,752.97,2.0,2.0,0.6019760000000001,1.398024,target,0,1380,trend_path|rb=False|bps=2.0|frac=False
2026-07-13,2026-07-13T15:13:00+00:00,2026-07-13T16:29:00+00:00,751.97,749.93,2.0,-4.080000000000155,0.6007600000000001,-4.680760000000155,trailing_stop,0,4560,trend_path|rb=False|bps=2.0|frac=False
2026-07-14,2026-07-14T14:35:00+00:00,2026-07-14T15:04:00+00:00,751.97,752.97,2.0,2.0,0.6019760000000001,1.398024,target,0,1740,trend_path|rb=False|bps=2.0|frac=False
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,751.97,750.26,2.0,-3.4200000000000728,0.600892,-4.020892000000073,trailing_stop,0,2640,trend_path|rb=False|bps=2.0|frac=False
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.0,0.2599999999999909,0.601628,-0.34162800000000915,end_of_day,0,10500,trend_path|rb=False|bps=2.0|frac=False
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.0,2.0,0.6019760000000001,1.398024,target,0,5220,trend_path|rb=False|bps=2.0|frac=False
